"PVWatts: Hourly PV Performance Data"
"Requested Location:","cairo"
"Location:","CAIRO, EGYPT"
"Lat (deg N):","30.13"
"Long (deg E):","31.4"
"Elev (m):","74"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","24","21","0","0","14","3.1","0","14","0","0"
"3","24","22","0","0","16.6","4.6","0","16.6","0","0"
"3","24","23","0","0","14.8","1.5","0","14.8","0","0"
"3","25","0","0","0","13","1","0","13","0","0"
"3","25","1","0","0","12.9","1","0","12.9","0","0"
"3","25","2","0","0","13","1.5","0","13","0","0"
"3","25","3","0","0","13","0.5","0","13","0","0"
"3","25","4","0","0","12.3","0.5","0","12.3","0","0"
"3","25","5","0","0","13.2","0","0","13.2","0","0"
"3","25","6","130","44","14.1","0.2","61.68","13.24","48.742","42.26"
"3","25","7","495","109","15","0.5","304.843","23.976","245.185","234.186"
"3","25","8","638","134","17","0","535.571","37.537","425.038","408.749"
"3","25","9","513","252","17","3.6","677.4","31.892","561.762","540.715"
"3","25","10","339","385","18","4.6","719.158","32.524","596.37","574.018"
"3","25","11","286","442","18.9","5","752.556","33.448","621.478","598.153"
"3","25","12","245","451","19.9","5.3","711.658","33.245","588.29","566.247"
"3","25","13","202","422","20.8","5.7","623.545","31.933","518.638","499.161"
"3","25","14","232","327","20.6","4.6","519.408","31.009","433.218","416.663"
"3","25","15","119","290","20.4","5.7","363.208","26.56","308.445","295.711"
"3","25","16","107","158","20.2","6.2","200.052","23.015","169.744","160.634"
"3","25","17","29","49","19","6.2","51.331","19.015","43.803","37.416"
"3","25","18","0","0","18.1","4.6","0","18.1","0","0"
"3","25","19","0","0","17.2","4.6","0","17.2","0","0"
"3","25","20","0","0","17","4.1","0","17","0","0"
"3","25","21","0","0","16","3.6","0","16","0","0"
"3","25","22","0","0","15.2","4.1","0","15.2","0","0"
"3","25","23","0","0","15","4.1","0","15","0","0"
"3","26","0","0","0","14","1","0","14","0","0"
"3","26","1","0","0","13.4","1","0","13.4","0","0"
"3","26","2","0","0","13.1","0","0","13.1","0","0"
"3","26","3","0","0","12.7","2.1","0","12.7","0","0"
"3","26","4","0","0","12.4","1","0","12.4","0","0"
"3","26","5","0","0","23","2.3","0","23","0","0"
"3","26","6","13","42","18.4","3.6","42.196","17.824","36.801","30.55"
"3","26","7","138","144","13.8","1","197.383","18.109","170.062","160.944"
"3","26","8","255","243","15.6","2.6","407.081","24.656","347.117","333.255"
"3","26","9","375","306","17.4","4.6","617.498","29.385","518.697","499.218"
"3","26","10","494","329","19.2","3.6","811.352","37.138","657.631","632.868"
"3","26","11","597","323","20.4","3.6","943.342","41.54","748.165","719.605"
"3","26","12","737","248","21.7","4.6","1006.104","42.435","794.298","763.695"
"3","26","13","877","142","22.9","3.6","968.473","44.89","754.477","725.642"
"3","26","14","713","186","22.9","3.6","771.974","40.635","612.607","589.628"
"3","26","15","564","166","22.4","3.6","522.319","34.333","422.081","405.888"
"3","26","16","329","131","21.9","4.6","261.238","26.899","210.861","200.745"
"3","26","17","85","50","20.9","4.6","60.852","21.306","48.647","42.166"
"3","26","18","0","0","20","5.7","0","20","0","0"
"3","26","19","0","0","18.8","5.7","0","18.8","0","0"
"3","26","20","0","0","18","5.7","0","18","0","0"
"3","26","21","0","0","17.3","5.7","0","17.3","0","0"
"3","26","22","0","0","16.5","3.6","0","16.5","0","0"
"3","26","23","0","0","16.9","2.6","0","16.9","0","0"
"3","27","0","0","0","17.3","2.6","0","17.3","0","0"
"3","27","1","0","0","17.7","2.6","0","17.7","0","0"
"3","27","2","0","0","14","1.5","0","14","0","0"
"3","27","3","0","0","14","1","0","14","0","0"
"3","27","4","0","0","13.5","1","0","13.5","0","0"
"3","27","5","0","0","14.3","2.1","0","14.3","0","0"
"3","27","6","145","47","15.2","3.6","67.123","15.136","52.336","45.782"
"3","27","7","469","120","16","4.6","307.806","21.047","252.375","241.185"
"3","27","8","750","107","17.5","5.1","577.86","27.874","480.114","461.986"
"3","27","9","853","111","19.1","3.1","802.177","37.627","645.911","621.619"
"3","27","10","917","105","20.6","3.1","960.666","43.128","755.209","726.341"
"3","27","11","899","141","22.1","3.1","1041.473","46.698","804.271","773.217"
"3","27","12","903","140","23.5","1.5","1044.284","53.713","776.834","747.013"
"3","27","13","902","122","25","2.6","964.442","49.254","734.325","706.363"
"3","27","14","875","103","25","3.1","806.698","44.347","627.667","604.099"
"3","27","15","774","98","24.1","4.1","581.834","36.786","462.612","445.079"
"3","27","16","540","99","23.2","5.1","315.75","29.037","247.216","236.163"
"3","27","17","167","46","22.2","5.4","69.017","22.795","51.008","44.481"
"3","27","18","0","0","21.3","5.7","0","21.3","0","0"
"3","27","19","0","0","20.4","6.7","0","20.4","0","0"
"3","27","20","0","0","19","4.6","0","19","0","0"
"3","27","21","0","0","19","4.1","0","19","0","0"
"3","27","22","0","0","17.6","1.5","0","17.6","0","0"
"3","27","23","0","0","17","4.1","0","17","0","0"
"3","28","0","0","0","16","3.1","0","16","0","0"
"3","28","1","0","0","15.8","1.5","0","15.8","0","0"
"3","28","2","0","0","16","2.1","0","16","0","0"
"3","28","3","0","0","15","1.5","0","15","0","0"
"3","28","4","0","0","15","1","0","15","0","0"
"3","28","5","0","0","15","2.1","0","15","0","0"
"3","28","6","38","49","16","3.1","52.477","15.583","45.011","38.601"
"3","28","7","215","148","19.8","0","234.69","27.443","191.897","182.252"
"3","28","8","309","234","21.9","1","431.307","34.47","350.417","336.457"
"3","28","9","338","319","24.1","1","602.266","42.49","474.222","456.295"
"3","28","10","350","381","26.2","1","725.314","48.672","554.164","533.399"
"3","28","11","344","423","26.8","3.1","789.36","45.19","614.412","591.363"
"3","28","12","344","423","27.4","2.6","789.163","46.946","608.656","585.831"
"3","28","13","350","381","28","2.6","724.748","46.046","561.416","540.382"
"3","28","14","176","348","27.5","1.5","495.974","42.332","391.182","375.973"
"3","28","15","64","243","27","4.6","279.978","32.421","231.534","220.891"
"3","28","16","0","117","26.5","3.6","112.002","28.317","94.82","87.396"
"3","28","17","0","28","26","3.1","26.515","25.492","22.75","16.766"
"3","28","18","0","0","25","0.5","0","25","0","0"
"3","28","19","0","0","24.1","1.5","0","24.1","0","0"
"3","28","20","0","0","22","4.1","0","22","0","0"
"3","28","21","0","0","22","4.1","0","22","0","0"
"3","28","22","0","0","21.7","3.1","0","21.7","0","0"
"3","28","23","0","0","22","2.1","0","22","0","0"
"3","29","0","0","0","22","4.1","0","22","0","0"
"3","29","1","0","0","22","5.7","0","22","0","0"
"3","29","2","0","0","23","6.7","0","23","0","0"
"3","29","3","0","0","22","3.1","0","22","0","0"
"3","29","4","0","0","19.4","1","0","19.4","0","0"
"3","29","5","0","0","18","0.5","0","18","0","0"
"3","29","6","0","46","19.6","0.5","43.671","18.503","38.704","32.417"
"3","29","7","8","143","21.2","0.5","140.601","24.177","121.099","113.106"
"3","29","8","196","252","23.6","1.3","375.449","33.429","307.573","294.864"
"3","29","9","482","278","26","2.1","681.656","43.057","534.863","514.803"
"3","29","10","817","192","27.1","3.6","971.786","48.387","743.404","715.05"
"3","29","11","494","344","26.5","5.7","863.905","42.355","682.329","656.558"
"3","29","12","216","391","26","6.7","618.672","36.218","503.993","485.034"
"3","29","13","25","325","25.2","8.7","339.627","29.669","285.654","273.56"
"3","29","14","24","272","24.6","7.7","282.788","28.323","239.31","228.464"
"3","29","15","13","204","24","6.7","204.701","26.714","174.448","165.226"
"3","29","16","0","117","23.7","3.1","111.944","25.389","96.096","88.645"
"3","29","17","0","38","23","5.1","36.028","22.679","31.322","25.177"
"3","29","18","0","0","22.7","4.1","0","22.7","0","0"
"3","29","19","0","0","22.4","6.2","0","22.4","0","0"
"3","29","20","0","0","21.3","4.6","0","21.3","0","0"
"3","29","21","0","0","20.1","3.1","0","20.1","0","0"
"3","29","22","0","0","19","2.1","0","19","0","0"
"3","29","23","0","0","17.5","2.1","0","17.5","0","0"
"3","30","0","0","0","16","2.1","0","16","0","0"
"3","30","1","0","0","15.2","2.1","0","15.2","0","0"
"3","30","2","0","0","15","2.1","0","15","0","0"
"3","30","3","0","0","14","1","0","14","0","0"
"3","30","4","0","0","14.8","2.6","0","14.8","0","0"
"3","30","5","0","0","15","1.5","0","15","0","0"
"3","30","6","0","30","14","2.1","28.412","12.792","25.836","19.794"
"3","30","7","0","119","15","3.6","113.839","16.079","102.007","94.429"
"3","30","8","74","248","17","5.7","291.256","21.244","253.905","242.674"
"3","30","9","205","351","17","4.6","522.538","26.847","444.752","427.817"
"3","30","10","25","411","18.2","4.6","426.617","26.522","364.251","349.873"
"3","30","11","19","452","19","5.1","464.037","27.389","394.591","379.275"
"3","30","12","18","451","19","4.6","461.993","27.945","391.814","376.586"
"3","30","13","19","416","19.6","4.6","426.09","27.817","361.573","347.277"
"3","30","14","59","318","20","5.7","364.315","26.045","311.551","298.728"
"3","30","15","39","241","19.8","4.6","262.216","24.503","225.495","215.007"
"3","30","16","11","142","19.6","4.1","140.613","21.781","122.352","114.331"
"3","30","17","7","49","18.3","4.6","47.447","18.163","41.732","35.386"
"3","30","18","0","1","17","3.6","0.97","15.555","0.871","0"
"3","30","19","0","0","16.6","4.1","0","16.6","0","0"
"3","30","20","0","0","16","4.1","0","16","0","0"
"3","30","21","0","0","15","2.6","0","15","0","0"
"3","30","22","0","0","14.4","2.6","0","14.4","0","0"
"3","30","23","0","0","14","2.6","0","14","0","0"
"3","31","0","0","0","14","1.5","0","14","0","0"
"3","31","1","0","0","13.1","1","0","13.1","0","0"
"3","31","2","0","0","13","1","0","13","0","0"
"3","31","3","0","0","12","0","0","12","0","0"
"3","31","4","0","0","12.1","0","0","12.1","0","0"
"3","31","5","0","1","12","0","0.97","7.954","0.901","0"
