"PVWatts: Hourly PV Performance Data"
"Requested Location:","sau paolo"
"Location:","SAO PAULO/CONGONHAS, BRAZIL"
"Lat (deg S):","23.62"
"Long (deg W):","46.65"
"Elev (m):","803"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","13","10","23","403","21","1.5","380.567","30.758","318.006","304.998"
"4","13","11","1","299","22","0","278.169","34.087","228.994","218.416"
"4","13","12","44","422","23","1.5","405.209","33.823","333.439","319.982"
"4","13","13","84","294","23.5","2.8","315.601","30.698","262.719","251.252"
"4","13","14","27","220","24","4.1","215.275","27.964","181.862","172.462"
"4","13","15","83","330","24","0","319.522","36.263","257.023","245.709"
"4","13","16","65","161","23","0","155.63","30.126","127.155","119.027"
"4","13","17","6","25","22.4","0","23.803","22.504","20.609","14.666"
"4","13","18","0","0","22","0","0","22","0","0"
"4","13","19","0","0","22","0","0","22","0","0"
"4","13","20","0","0","21.8","0","0","21.8","0","0"
"4","13","21","0","0","22","0","0","22","0","0"
"4","13","22","0","0","21","0","0","21","0","0"
"4","13","23","0","0","21.2","0","0","21.2","0","0"
"4","14","0","0","0","21","0","0","21","0","0"
"4","14","1","0","0","21","0","0","21","0","0"
"4","14","2","0","0","21.4","0","0","21.4","0","0"
"4","14","3","0","0","21","0","0","21","0","0"
"4","14","4","0","0","20.7","0","0","20.7","0","0"
"4","14","5","0","0","20.4","0","0","20.4","0","0"
"4","14","6","27","12","21","0","10.296","18.156","9.139","3.408"
"4","14","7","287","76","21","0","108.658","22.778","78.906","71.815"
"4","14","8","523","112","23.3","2.1","261.85","28.901","197.746","187.957"
"4","14","9","392","170","25","2.1","325.39","32.744","258.507","247.153"
"4","14","10","610","194","26","2.1","500.839","38.405","392.506","377.256"
"4","14","11","499","289","27","2.1","549.113","41.116","429.647","413.209"
"4","14","12","365","290","28","2.6","471.824","39.524","373.186","358.535"
"4","14","13","528","266","28","2.1","527.866","41.494","410.037","394.231"
"4","14","14","454","201","28.5","4.1","391.375","36.663","306.681","293.997"
"4","14","15","380","225","29","2.1","330.582","37.297","252.974","241.768"
"4","14","16","159","145","29","0","158.216","36.339","120.59","112.608"
"4","14","17","166","22","27","0","20.831","27.218","15.408","9.561"
"4","14","18","0","0","25","2.1","0","25","0","0"
"4","14","19","0","0","24","2.1","0","24","0","0"
"4","14","20","0","0","22.9","1.5","0","22.9","0","0"
"4","14","21","0","0","23","0","0","23","0","0"
"4","14","22","0","0","22","0","0","22","0","0"
"4","14","23","0","0","22","0","0","22","0","0"
"4","15","0","0","0","22","0","0","22","0","0"
"4","15","1","0","0","21","0","0","21","0","0"
"4","15","2","0","0","20.9","0","0","20.9","0","0"
"4","15","3","0","0","21","0","0","21","0","0"
"4","15","4","0","0","21","0","0","21","0","0"
"4","15","5","0","0","20.1","0","0","20.1","0","0"
"4","15","6","106","15","29","0","11.413","26.724","9.735","3.993"
"4","15","7","460","59","22","1.5","116.619","23.54","76.335","69.297"
"4","15","8","786","61","23","2.1","297.404","29.551","215.014","204.793"
"4","15","9","871","75","24","0","453.954","41.511","336.004","322.471"
"4","15","10","758","153","26","2.1","544.043","39.865","421.219","405.054"
"4","15","11","731","215","26.2","3.1","618.247","40.38","482.965","464.739"
"4","15","12","332","270","27","2.1","432.828","38.547","343.943","330.176"
"4","15","13","545","261","29","0","529.861","49.702","393.91","378.615"
"4","15","14","344","209","29.3","3.6","344.541","36.839","270.96","259.27"
